Noi dung,So lan xuat hien,Ten/so lan comment
"cạp cao hay thấp ạ","1","Huyền Trân(1)"
"03","3","changgg🥰(3)"
"địa chỉ shop o đâu ạ","1","Lê Nguyệt Ánh(1)"
"Eo 67 hông 90 mặc sz gì c","1","Chang đeii🤡(1)"
"Eo 68 mặc gì ạ","1","Hg_Nhung02🕊(1)"
"E xem 2 3","1","Yến Móm Shop(1)"
"S size eo bnhiu ạ","1","copedethuong_(1)"
"mai mih thử lại","1","Bích Ly(1)"
"c cho e xem mẫu 2 đi ạ","1","Nguyennhuquynh(1)"
"tầm 68 ạ","1","hg.(1)"
"Eo 70","1","Ngọc Huyền(1)"
"ý là mk đến shop lấy","1","Lê Nguyệt Ánh(1)"
"C live dc bao lâu ròi ạ","1","Nguyễn Thị Duyên(1)"
"nếu eo nhỏ v3 hơn số đo size váy thì mua size nào ạ","1","nullify(1)"
"1m55 51kg mặc size nào ạ","1","Ngọc Huyền(1)"
"Eo đo chỗ nhỏ nhất đúng k ạ","1","Trâm Trắng nèeee(1)"
"Có quần bảo hộ ko bạn","1","NHƯ NHƯ(1)"
"Eo 66 1m5 size gì ạ","1","Con cua(1)"
"Bụng 68 mặc sz gì","1","Bé Linh 🐳(1)"
"có bên s ko ạ","1","Njshs(1)"
"hỏng dc. ko có bấm dc thanh toan khi nhận hag.","1","Bích Ly(1)"
"Chắc shop chưa gửi rồi","1","Vũ Thanh Thanh(1)"
"Eo 67 mặc sz gi ạ","1","Vân Anh(1)"
"mih dag chốt 3 màu","1","Bích Ly(1)"
"nhìu chỉ thừa ko ạ","1","Thùy Trang (✿☉｡☉)(1)"
"128","1","I’m danh(1)"
"Size S bao nhiêu kí b","1","Nguyễn Thanh Hải117(1)"
"129","4","I’m danh(2)|quyn😘quyn(kb911314)🥰(1)|nullify(1)"
"C quay lưng lại đi ạ","1","Con cua(1)"
"đùi to mặc oki k ạ","1","xả nháp :))(1)"
"Quần nhung ạ","2","Bơ lạc 🥜(1)|Hg_Nhung02🕊(1)"
"sao mih dat hag mà ko dc thanh toán khi nhận hag ta","1","Bích Ly(1)"
"C live mấy tháng ròi á","1","Nguyễn Thị Duyên(1)"
"Eo 65 ạ","1","🍀Thảo Vy(1)"
"@b nặng bn kg v","1","ninini(1)"
"Áo có bán k ạ?","1","Kendy(1)"
"Eo 66 size nào ạ","1","Em Bé 🌸(1)"
"Dơ đủ màu đi bà","1","cún(1)"
"1m55 45kg sz gì ạ","1","Bé Linh 🐳(1)"
"E xem khoá quần nhung ạ","1","Hân Lê(1)"
"Xoay ngag e xem","1","︎cún ♡(1)"
"60kg m6 size gi ạ","1","user4819996296970(1)"
"Vải nhung có mềm k b","1","Quyênhappyhahaa(1)"
"eo 72 mặc size nào ạ","1","xả nháp :))(1)"
"M68 có ngắn k ạ","1","Hồng Thi🎀(1)"
"vãi htrc mua 127k 😩","1","ㅤ(1)"
"Thử màu nâu đi ạ","1","Toanle(1)"
"C cao bao nhiêu nặng bn đấy ạ","1","phuong nguyen xin chao(1)"
"Thay đi c","1","phuong nguyen xin chao(1)"
"Eo 66 mặc sz gì ạ","1","Bé Linh 🐳(1)"
"49kg size gì ạ","1","Ban_nho_cute(1)"
"1m6 46 kg size gì a","1","hg.(1)"
"c vừa đặt L mất rồi","1","Đỗ Thuý Hà(1)"
"c mặc thử màu đỏ di c","1","Mt 🐇(1)"
"quân trong ko","1","Bánh mì(1)"
"Eo 72, 50kg 1m56 size gì bạn","1","NHƯ NHƯ(1)"
"Quá đẹp chị ạ","1","Chúng ta sau này !(1)"
"eo 67 size gì ạ","1","Ban_nho_cute(1)"
"có lẽ nick mih hom nay mua nhiu qua kk","1","Bích Ly(1)"
"có co giãn k shop","1","hoimo(1)"
"C mặc m2 di","1","Bé Linh 🐳(1)"
"v3 97 v2 60 ạ","1","nullify(1)"
"eo 63 mặc size gì ạ","1","chanchan(1)"
"có chật v3 k vậy ạ","1","nullify(1)"
"Eo 72 size nào ạ","1","Minee(1)"
"Eo 65 mặc size gi ban","1","Minh Trang Le(1)"
"eo 70 chắc sz L ko để c đặt","1","Đỗ Thuý Hà(1)"
"Eo 76 mặc size gì em ơi","1","Ngoc Lam Bao(1)"
"69 ạ","1","Thủy Nguyễn Thanh(1)"
"52kg mặc sz gi vậy c","1","Thủy Nguyễn Thanh(1)"
"Chất dày dặn không bà","1","cún(1)"
"M2 xám đi c","1","Bé Linh 🐳(1)"
"Đơn của em 4 ngày vẫn đứng im,","1","Vũ Thanh Thanh(1)"
"E k có mã freeship","1","Lại Thị Trúc An(1)"
"@My My nick j v ạ","1","Bánh mì(1)"
"vòng 3 89","1","Đỗ Thuý Hà(1)"
"eo67 47kg m58 size j v ạ","1","Bánh mì(1)"
"Minh 1.53 nặng 46kg","1","Meo Meo(1)"
"có bị ngắn quá k c","1","Mt 🐇(1)"
"C ơi sao nick kia 109 mà e đổi nick 129 v","1","My My(1)"
"Eo 64 mang size gì c","1","TÔM MÝ BABY(1)"
"C đang mặc sz gì ạ","1","Bé Linh 🐳(1)"
"quần nhung","1","Tiinee🫧(1)"
"1m6 43kg eo 63 mặc size gì ạ","1","Mt 🐇(1)"
"Chị mặc màu đỏ đi ạ","1","I’m danh(1)"
"C live giỏi ghe. E live mk k có đơn","1","Nguyễn Thị Duyên(1)"
"day kéo ngang hong hay sao c","1","@Meomeoo0601(1)"
"Vàng bò đi shop","1","Minhthuuu(1)"
"40kg mặc dc size S ko","1","Út Chi(1)"
"Xinh mn ơi e mới nhận hàng chiều nay😋🫶🏻","1","✨️(1)"
"Eo 66 mặc quần nhung sz m ạ","1","Bé Linh 🐳(1)"
"60kg eo72","1","Hồng Thi🎀(1)"
"c mặc size gì v ạ","1","nullify(1)"
"Đã huỷ đơn vì 4 ngày k thấy giao🥴","1","Chủm😗(1)"
"ok","1","Bánh mì(1)"
"Hàng còn chưa đi chị ạ e đặt lại 2 lần rồi vẫn v ạ","1","Chủm😗(1)"
"B bn kg","1","ninini(1)"
"eo 70 size j ạ","1","_htuu.chanie_(1)"
"Có chân váy chữ a ko c","1","Hna(1)"
"em xem 3 ạ","1","Tiinee🫧(1)"
"Eo 72 quần nhung size L à bạn","1","NHƯ NHƯ(1)"
"Áo bán k e","1","Thuphuong911(1)"
"Eo 65 mặc váy size gì shop","1","Minhthuuu(1)"
"Eo 66 n","1","Bé Linh 🐳(1)"
"c mặc thử quần nhung lun di ạ 😿","1","Mt 🐇(1)"
"Size L eo bnhiu ạ","1","Bơ lạc 🥜(1)"
"shop mk bán trực tiếp giá mấy ah","1","Lê Nguyệt Ánh(1)"
"Tại e thấy là vẫn huỷ được đơn hàng chứ nếu đi rồi thì không thể huỷ được ạ","1","Vũ Thanh Thanh(1)"
"Mang quần nhung đi chị","1","TÔM MÝ BABY(1)"
